iter	Passed	Remaining
0	842	841443
1	1937	966922
2	2870	953985
3	3866	962639
4	4826	960482
5	5552	919919
6	6622	939490
7	7593	941607
8	8523	938526
9	9549	945388
10	10481	942362
11	11478	945102
12	12462	946169
13	13256	933634
14	14123	927410
15	15067	926659
16	16078	929729
17	17060	930766
18	18030	930926
19	19040	932975
20	20033	933933
21	20993	933276
22	21937	931852
23	22895	931096
24	23827	929263
25	24757	927452
26	25752	928060
27	26617	923998
28	27499	920769
29	28468	920479
30	29522	922808
31	30453	921212
32	31449	921565
33	32468	922500
34	33588	926070
35	34567	925640
36	35414	921729
37	36337	919919
38	37276	918531
39	38161	915871
40	39136	915417
41	40163	916118
42	41147	915769
43	42061	913879
44	43044	913490
45	43865	909735
46	44658	905527
47	45808	908543
48	46674	905867
49	47750	907262
50	48797	908010
51	49849	908790
52	50815	907970
53	51603	904013
54	52626	904223
55	53630	904063
56	54462	901011
57	55355	899047
58	56396	899472
59	57308	897831
60	58450	899753
61	59588	901509
62	60698	902774
63	61560	900316
64	62565	899982
65	63619	900317
66	64705	901047
67	65713	900664
68	66678	899676
69	67803	900814
70	68771	899835
71	69702	898383
72	70699	897784
73	71682	896993
74	72827	898199
75	73909	898587
76	74865	897408
77	75796	895954
78	76779	895113
79	77887	895711
80	79021	896556
81	80192	897768
82	81231	897456
83	82303	897501
84	83306	896767
85	84369	896667
86	85369	895885
87	86372	895132
88	87229	892878
89	88240	892210
90	89167	890696
91	90326	891486
92	91302	890444
93	92340	890005
94	93398	889745
95	94231	887342
96	95327	887434
97	96439	887639
98	97424	886665
99	98540	886864
100	99514	885779
101	100654	886158
102	101778	886360
103	102875	886310
104	103936	885937
105	104988	885471
106	105926	884042
107	107026	883961
108	108160	884137
109	108983	881779
110	109998	880977
111	111198	881646
112	112365	882021
113	113502	882133
114	114397	880361
115	115448	879798
116	116480	879081
117	117651	879394
118	118774	879332
119	119719	877945
120	120795	877512
121	121891	877219
122	122896	876263
123	123957	875696
124	125046	875322
125	126087	874604
126	127153	874052
127	128370	874522
128	129608	875105
129	130763	875109
130	131897	874956
131	132997	874561
132	134121	874311
133	135276	874251
134	136107	872095
135	137062	870747
136	138054	869645
137	139236	869721
138	140294	869016
139	141294	867951
140	142287	866845
141	143128	864819
142	144073	863434
143	145351	864034
144	146382	863149
145	147492	862732
146	148542	861951
147	149458	860397
148	150627	860292
149	151711	859697
150	152796	859100
151	153889	858543
152	154949	857791
153	155914	856519
154	157025	856043
155	158149	855631
156	159256	855115
157	160367	854618
158	161564	854565
159	162734	854358
160	163914	854187
161	165043	853744
162	166165	853254
163	167419	853430
164	168514	852784
165	169554	851860
166	170689	851404
167	171813	850886
168	172874	850050
169	173862	848857
170	174926	848037
171	175917	846858
172	177161	846894
173	178366	846727
174	179524	846331
175	180650	845774
176	181675	844740
177	182566	843088
178	183613	842158
179	184748	841633
180	185786	840656
181	186875	839914
182	187971	839193
183	189183	838988
184	190333	838494
185	191462	837904
186	192691	837742
187	193844	837244
188	194991	836709
189	195885	835091
190	197028	834534
191	198094	833647
192	199194	832900
193	200438	832751
194	201544	832018
195	202675	831384
196	203876	831030
197	204900	829949
198	206137	829728
199	207095	828380
200	208226	827725
201	209462	827481
202	210658	827068
203	211820	826515
204	212873	825534
205	213856	824280
206	214969	823531
207	216092	822814
208	217232	822158
209	218215	820905
210	219245	819832
211	220283	818788
212	221348	817847
213	222398	816847
214	223479	815961
215	224530	814964
216	225692	814365
217	226798	813561
218	227874	812649
219	228958	811762
220	229962	810593
221	231049	809714
222	232060	808569
223	233230	807977
224	234329	807135
225	235327	805944
226	236358	804869
227	237470	804066
228	238665	803540
229	239710	802509
230	240857	801816
231	241926	800858
232	242930	799689
233	244124	799141
234	245067	797773
235	246079	796629
236	247188	795800
237	248261	794855
238	249437	794232
239	250445	793078
240	251553	792236
241	252672	791429
242	253772	790559
243	254974	790003
244	256075	789130
245	257232	788427
246	258387	787715
247	259518	786926
248	260500	785686
249	261588	784766
250	262620	783676
251	263708	782753
252	264779	781780
253	265952	781105
254	266904	779779
255	267938	778697
256	269041	777812
257	270169	777000
258	271392	776454
259	272439	775403
260	273570	774591
261	274676	773706
262	275790	772841
263	276999	772241
264	278100	771334
265	279100	770150
266	280147	769094
267	281283	768281
268	282406	767433
269	283515	766541
270	284602	765590
271	285374	763795
272	286261	762316
273	287306	761258
274	288459	760485
275	289690	759912
276	290828	759094
277	291950	758230
278	293082	757392
279	294184	756474
280	295300	755591
281	296440	754767
282	297560	753890
283	298727	753129
284	299883	752339
285	300954	751333
286	302048	750386
287	303114	749365
288	304342	748744
289	305471	747877
290	306611	747036
291	307729	746139
292	308817	745168
293	310019	744469
294	311079	743426
295	312212	742558
296	313354	741710
297	314446	740743
298	315624	739975
299	316590	738711
300	317720	737829
301	318789	736804
302	319833	735722
303	320970	734853
304	322230	734263
305	323373	733403
306	324571	732663
307	325897	732210
308	327215	731734
309	328287	730704
310	329526	730043
311	330750	729346
312	331998	728700
313	333102	727733
314	333947	726202
315	335030	725192
316	336322	724631
317	337717	724287
318	339277	724287
319	340655	723893
320	342018	723460
321	343232	722707
322	344422	721901
323	345466	720787
324	346531	719718
325	347549	718552
326	348668	717596
327	349884	716836
328	351136	716148
329	352013	714694
330	353193	713857
331	354454	713179
332	355573	712214
333	356665	711194
334	357918	710494
335	359200	709849
336	360520	709272
337	361583	708190
338	362767	707342
